word,tokens,attention,attention_correct,attention_incorrect,antichina_attention,antichina_attention_correct,antichina_attention_incorrect,antivacina_attention,antivacina_attention_correct,antivacina_attention_incorrect,provacina_attention,provacina_attention_correct,provacina_attention_incorrect,captum,captum_correct,captum_incorrect,antichina_captum,antichina_captum_correct,antichina_captum_incorrect,antivacina_captum,antivacina_captum_correct,antivacina_captum_incorrect,provacina_captum,provacina_captum_correct,provacina_captum_incorrect,tfidf,antichina_tfidf,antivacina_tfidf,provacina_tfidf,captum_abs,captum_abs_correct,captum_abs_incorrect,antichina_captum_abs,antichina_captum_abs_correct,antichina_captum_abs_incorrect,antivacina_captum_abs,antivacina_captum_abs_correct,antivacina_captum_abs_incorrect,provacina_captum_abs,provacina_captum_abs_correct,provacina_captum_abs_incorrect,captum_p,captum_p_correct,captum_p_incorrect,antichina_captum_p,antichina_captum_p_correct,antichina_captum_p_incorrect,antivacina_captum_p,antivacina_captum_p_correct,antivacina_captum_p_incorrect,provacina_captum_p,provacina_captum_p_correct,provacina_captum_p_incorrect,captum_n,captum_n_correct,captum_n_incorrect,antichina_captum_n,antichina_captum_n_correct,antichina_captum_n_incorrect,antivacina_captum_n,antivacina_captum_n_correct,antivacina_captum_n_incorrect,provacina_captum_n,provacina_captum_n_correct,provacina_captum_n_incorrect
aa,aa,0.08469105263551076,0.03824601570765177,0.04644503692785899,0.0,0.0,0.0,0.0,0.0,0.0,0.29120132711350405,0.13150492506928976,0.1596964020442143,0.013245442973944293,0.00998329315408814,0.0032621498198561498,0.0,0.0,0.0,0.0,0.0,0.0,0.04554307039751619,0.03432650941233745,0.01121656098517874,0.00042152634181787975,0.0,0.000651660841734622,0.0006129181837190173,0.013245442973944293,0.00998329315408814,0.0032621498198561498,0.0,0.0,0.0,0.0,0.0,0.0,0.04554307039751619,0.03432650941233745,0.01121656098517874,0.013245442973944293,0.00998329315408814,0.0032621498198561498,0.0,0.0,0.0,0.0,0.0,0.0,0.04554307039751619,0.03432650941233745,0.01121656098517874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aaaaa,aa ##aa ##a,0.0016827768025298832,0.0016827768025298832,0.0,0.00564059263417838,0.00564059263417838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029072580983024086,0.0029072580983024086,0.0,0.009744999212186843,0.009744999212186843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002007485820994869,0.0006022457462984607,0.0,0.0,0.0029072580983024086,0.0029072580983024086,0.0,0.009744999212186843,0.009744999212186843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029072580983024086,0.0029072580983024086,0.0,0.009744999212186843,0.009744999212186843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aaai,aa ##ai,0.022562752167383824,0.022562752167383824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07757966361278107,0.07757966361278107,0.0,5.538697383937501e-05,5.538697383937501e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00019044231692621778,0.00019044231692621778,0.0,0.0003317419270499485,0.0,0.0,0.0009952257811498455,0.0006299352635188999,0.0006299352635188999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021659665221280227,0.0021659665221280227,0.0,0.0003426611186791333,0.0003426611186791333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001178204419527106,0.001178204419527106,0.0,0.0002872741448397583,0.0002872741448397583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009877621026008882,0.0009877621026008882,0.0
abaixo,abaixo,0.0051652817055583,0.0051652817055583,0.0,0.017313793426452402,0.017313793426452402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0029483782832727,-0.0029483782832727,0.0,-0.009882832234433632,-0.009882832234433632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005033656719275426,0.0015100970157826278,0.0,0.0,0.0029483782832727,0.0029483782832727,0.0,0.009882832234433632,0.009882832234433632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0029483782832727,0.0029483782832727,0.0,0.009882832234433632,0.009882832234433632,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abaixoatirania,abaixo ##ati ##rania,0.0017414650258918583,0.0017414650258918583,0.0,0.005837312935950363,0.005837312935950363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026843770723697247,0.0026843770723697247,0.0,0.008997911974423659,0.008997911974423659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005594547744756902,0.0016783643234270706,0.0,0.0,0.004416672806337817,0.004416672806337817,0.0,0.014804489853646312,0.014804489853646312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003550524939353767,0.003550524939353767,0.0,0.011901200914034972,0.011901200914034972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008661478669840417,0.0008661478669840417,0.0,0.0029032889396113128,0.0029032889396113128,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abandonado,abandonado,0.0006740576742837749,0.0006740576742837749,0.0,0.0022594111987165643,0.0022594111987165643,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026513435436548416,0.0026513435436548416,0.0,0.008887185062530195,0.008887185062530195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003051503371439722,0.0009154510114319167,0.0,0.0,0.0026513435436548416,0.0026513435436548416,0.0,0.008887185062530195,0.008887185062530195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026513435436548416,0.0026513435436548416,0.0,0.008887185062530195,0.008887185062530195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abandonados,abandonado ##s,0.002952050107220808,0.002952050107220808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010150315554913953,0.010150315554913953,0.0,0.0011448242594689333,0.0011448242594689333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00393635848528,0.00393635848528,0.0,0.0002642954867411646,0.0,0.0,0.0007928864602234938,0.0011448242594689333,0.0011448242594689333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00393635848528,0.00393635848528,0.0,0.0011448242594689333,0.0011448242594689333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00393635848528,0.00393635848528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abençoe,ab ##en ##ço ##e,0.016531445086002343,0.015679421524206795,0.00085202356179555,0.0,0.0,0.0,0.002073891022626085,0.0,0.002073891022626085,0.053912051086097854,0.053912051086097854,0.0,0.0127911471437444,0.01129843471823745,0.0014927124255069498,0.0,0.0,0.0,0.0036333771006254356,0.0,0.0036333771006254356,0.03884848613720613,0.03884848613720613,0.0,0.00073748671926982,0.0011420673462347085,0.0,0.0010703928115747513,0.020912816014423637,0.016274020457998348,0.004638795556425283,0.0,0.0,0.0,0.011291185938560527,0.0,0.011291185938560527,0.05595651733409175,0.05595651733409175,0.0,0.016851981579084015,0.0137862275881179,0.003065753990966117,0.0,0.0,0.0,0.007462281519592982,0.0,0.007462281519592982,0.04740250173564894,0.04740250173564894,0.0,0.004060834435339617,0.00248779286988045,0.0015730415654591665,0.0,0.0,0.0,0.0038289044189675457,0.0,0.0038289044189675457,0.008554015598442807,0.008554015598442807,0.0
aberta,aber ##ta,0.0018626758828759167,0.0018626758828759167,0.0,0.0,0.0,0.0,0.004533896672314604,0.004533896672314604,0.0,0.0,0.0,0.0,-0.02023555589633499,-0.02023555589633499,0.0,0.0,0.0,0.0,-0.049254902790267736,-0.049254902790267736,0.0,0.0,0.0,0.0,0.00029455320480709676,0.0,0.0008836596144212902,0.0,0.02023555589633499,0.02023555589633499,0.0,0.0,0.0,0.0,0.049254902790267736,0.049254902790267736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02023555589633499,0.02023555589633499,0.0,0.0,0.0,0.0,0.049254902790267736,0.049254902790267736,0.0,0.0,0.0,0.0
abominação,ab ##omina ##ção,0.04004934678475062,0.04004934678475062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.137705490377366,0.137705490377366,0.0,0.005756075227529308,0.005756075227529308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01979166267345321,0.01979166267345321,0.0,0.00026690162646413333,0.0,0.0,0.0008007048793924,0.0193402493458696,0.0193402493458696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06649942468493845,0.06649942468493845,0.0,0.012548162286699457,0.012548162286699457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04314554367919584,0.04314554367919584,0.0,0.0067920870591701415,0.0067920870591701415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02335388100574261,0.02335388100574261,0.0
abominável,ab ##omi ##ná ##vel,0.0011030385891596416,0.0011030385891596416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0037926828280560746,0.0037926828280560746,0.0,0.0005967984626617333,0.0005967984626617333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020520290979773067,0.0020520290979773067,0.0,0.00024189673450281368,0.0,0.0,0.000725690203508441,0.0005967984626617333,0.0005967984626617333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020520290979773067,0.0020520290979773067,0.0,0.0005967984626617333,0.0005967984626617333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020520290979773067,0.0020520290979773067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abordagem,abord ##agem,0.004235336557030674,0.0,0.004235336557030674,0.0,0.0,0.0,0.010309135635774461,0.0,0.010309135635774461,0.0,0.0,0.0,0.0025491650489200416,0.0,0.0025491650489200416,0.0,0.0,0.0,0.006204864216438235,0.0,0.006204864216438235,0.0,0.0,0.0,0.00042517764818100713,0.0,0.0,0.0012755329445430213,0.01025125387624545,0.0,0.01025125387624545,0.0,0.0,0.0,0.024952342092281015,0.0,0.024952342092281015,0.0,0.0,0.0,0.0064002094625827425,0.0,0.0064002094625827425,0.0,0.0,0.0,0.015578603154359615,0.0,0.015578603154359615,0.0,0.0,0.0,0.0038510444136627,0.0,0.0038510444136627,0.0,0.0,0.0,0.009373738937921379,0.0,0.009373738937921379,0.0,0.0,0.0
abortistas,ab ##ort ##istas,0.004079799788693583,0.0,0.004079799788693583,0.013675306554280169,0.0,0.013675306554280169,0.0,0.0,0.0,0.0,0.0,0.0,-0.0014017672211354751,0.0,-0.0014017672211354751,-0.00469866107643176,0.0,-0.00469866107643176,0.0,0.0,0.0,0.0,0.0,0.0,0.000170725710297554,0.0,0.000512177130892662,0.0,0.0034243424457491667,0.0,0.0034243424457491667,0.011478242834913407,0.0,0.011478242834913407,0.0,0.0,0.0,0.0,0.0,0.0,0.0010112876123068418,0.0,0.0010112876123068418,0.0033897908792408097,0.0,0.0033897908792408097,0.0,0.0,0.0,0.0,0.0,0.0,0.0024130548334423164,0.0,0.0024130548334423164,0.00808845195567257,0.0,0.00808845195567257,0.0,0.0,0.0,0.0,0.0,0.0
aborto,ab ##orto,0.001964263152331108,0.001964263152331108,0.0,0.006584122298316565,0.006584122298316565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036473181200900747,0.0036473181200900747,0.0,0.012225647329910867,0.012225647329910867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00019258094871274126,0.0005777428461382237,0.0,0.0,0.0036473181200900747,0.0036473181200900747,0.0,0.012225647329910867,0.012225647329910867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0036473181200900747,0.0036473181200900747,0.0,0.012225647329910867,0.012225647329910867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
about,about,0.029099140781909217,0.017656685008356966,0.011442455773552249,0.0,0.0,0.0,0.04096389814274304,0.025698906811932758,0.015264991330810284,0.04218844456710241,0.024408197569471376,0.017780246997631033,0.0332869764689282,0.024011355009291586,0.009275621459636615,0.0,0.0,0.0,-0.022032633089615762,0.0009593770390493507,-0.022992010128665114,0.1455772489280642,0.08120530983065492,0.06437193909740928,0.0013559307482295386,0.0005317052922942704,0.002035218625774434,0.0015008683266199113,0.061624628952507955,0.03345723917048484,0.028167389782023117,0.0,0.0,0.0,0.04694339729637959,0.023951387167714482,0.022992010128665114,0.1455772489280642,0.08120530983065492,0.06437193909740928,0.047455802710718066,0.028734297089888207,0.018721505620829866,0.0,0.0,0.0,0.012455382103381906,0.012455382103381906,0.0,0.1455772489280642,0.08120530983065492,0.06437193909740928,0.014168826241789875,0.004722942080596625,0.00944588416119325,0.0,0.0,0.0,0.03448801519299767,0.011496005064332557,0.022992010128665114,0.0,0.0,0.0
abra,ab ##ra,0.0004136753462565416,0.0004136753462565416,0.0,0.001386621272368296,0.001386621272368296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0029996709296673837,-0.0029996709296673837,0.0,-0.010054762892739834,-0.010054762892739834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00036768179318001377,0.0011030453795400413,0.0,0.0,0.005888597247542817,0.005888597247542817,0.0,0.019738314796232902,0.019738314796232902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014444631589377085,0.0014444631589377085,0.0,0.004841775951746509,0.004841775951746509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0044441340886051,0.0044441340886051,0.0,0.014896538844486369,0.014896538844486369,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abraço,ab ##ra ##ço,0.02342196057240168,0.0,0.02342196057240168,0.0,0.0,0.0,0.05701085737704263,0.0,0.05701085737704263,0.0,0.0,0.0,-0.007025259946235317,0.0,-0.007025259946235317,0.0,0.0,0.0,-0.01710002420990341,0.0,-0.01710002420990341,0.0,0.0,0.0,0.00038708614379385207,0.0,0.0,0.0011612584313815562,0.01682364900775216,0.0,0.01682364900775216,0.0,0.0,0.0,0.04095005843671925,0.0,0.04095005843671925,0.0,0.0,0.0,0.004899194530758417,0.0,0.004899194530758417,0.0,0.0,0.0,0.01192501711340791,0.0,0.01192501711340791,0.0,0.0,0.0,0.01192445447699374,0.0,0.01192445447699374,0.0,0.0,0.0,0.02902504132331134,0.0,0.02902504132331134,0.0,0.0,0.0
abre,abre,0.02188158283631007,0.02188158283631007,0.0,0.0,0.0,0.0,0.05326145923645453,0.05326145923645453,0.0,0.0,0.0,0.0,0.004918243451977242,0.004918243451977242,0.0,0.0,0.0,0.0,0.011971383655928378,0.011971383655928378,0.0,0.0,0.0,0.0,0.00022707718165561116,0.0,0.0006812315449668335,0.0,0.004918243451977242,0.004918243451977242,0.0,0.0,0.0,0.0,0.011971383655928378,0.011971383655928378,0.0,0.0,0.0,0.0,0.004918243451977242,0.004918243451977242,0.0,0.0,0.0,0.0,0.011971383655928378,0.011971383655928378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abrigar,ab ##riga ##r,0.005362794424096742,0.005362794424096742,0.0,0.0,0.0,0.0,0.013053454987659412,0.013053454987659412,0.0,0.0,0.0,0.0,0.0079975504922403,0.0079975504922403,0.0,0.0,0.0,0.0,0.01946665434216706,0.01946665434216706,0.0,0.0,0.0,0.0,0.00019207129889763682,0.0,0.0005762138966929105,0.0,0.009372338700613266,0.009372338700613266,0.0,0.0,0.0,0.0,0.022812994808794968,0.022812994808794968,0.0,0.0,0.0,0.0,0.008684944596426783,0.008684944596426783,0.0,0.0,0.0,0.0,0.02113982457548101,0.02113982457548101,0.0,0.0,0.0,0.0,0.0006873941041864834,0.0006873941041864834,0.0,0.0,0.0,0.0,0.0016731702333139555,0.0016731702333139555,0.0,0.0,0.0,0.0
abrisse,ab ##riss ##e,0.0012686463693777667,0.0012686463693777667,0.0,0.0,0.0,0.0,0.003087983049195375,0.003087983049195375,0.0,0.0,0.0,0.0,-0.0011215752383355417,-0.0011215752383355417,0.0,0.0,0.0,0.0,-0.002730000580127079,-0.002730000580127079,0.0,0.0,0.0,0.0,0.00029776461937670265,0.0,0.000893293858130108,0.0,0.009017927867884249,0.009017927867884249,0.0,0.0,0.0,0.0,0.021950331524261867,0.021950331524261867,0.0,0.0,0.0,0.0,0.00394817631477435,0.00394817631477435,0.0,0.0,0.0,0.0,0.009610165472067384,0.009610165472067384,0.0,0.0,0.0,0.0,0.005069751553109891,0.005069751553109891,0.0,0.0,0.0,0.0,0.012340166052194464,0.012340166052194464,0.0,0.0,0.0,0.0
abriu,ab ##riu,0.00371203447381655,0.00371203447381655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012763442316847737,0.012763442316847737,0.0,0.004961816939424442,0.004961816939424442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017060688616932176,0.017060688616932176,0.0,0.00019241883975814667,0.0,0.0,0.00057725651927444,0.004961816939424442,0.004961816939424442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017060688616932176,0.017060688616932176,0.0,0.004961816939424442,0.004961816939424442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017060688616932176,0.017060688616932176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
abro,ab ##ro,0.009955367073416708,0.009955367073416708,0.0,0.0,0.0,0.0,0.02423213080750517,0.02423213080750517,0.0,0.0,0.0,0.0,0.002244508959321375,0.002244508959321375,0.0,0.0,0.0,0.0,0.005463307811735599,0.005463307811735599,0.0,0.0,0.0,0.0,0.00042262182351843154,0.0,0.0012678654705552948,0.0,0.0185464022701339,0.0185464022701339,0.0,0.0,0.0,0.0,0.04514337266564032,0.04514337266564032,0.0,0.0,0.0,0.0,0.010395455614727633,0.010395455614727633,0.0,0.0,0.0,0.0,0.025303340238687952,0.025303340238687952,0.0,0.0,0.0,0.0,0.00815094665540626,0.00815094665540626,0.0,0.0,0.0,0.0,0.019840032426952352,0.019840032426952352,0.0,0.0,0.0,0.0
absoluta,absoluta,0.012007838735977808,0.0,0.012007838735977808,0.0,0.0,0.0,0.029228005036862823,0.0,0.029228005036862823,0.0,0.0,0.0,0.011606274773401076,0.0,0.011606274773401076,0.0,0.0,0.0,0.028250567399759206,0.0,0.028250567399759206,0.0,0.0,0.0,0.0006604152305326567,0.0,0.0,0.0019812456915979703,0.011606274773401076,0.0,0.011606274773401076,0.0,0.0,0.0,0.028250567399759206,0.0,0.028250567399759206,0.0,0.0,0.0,0.011606274773401076,0.0,0.011606274773401076,0.0,0.0,0.0,0.028250567399759206,0.0,0.028250567399759206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
absolutamente,absolutam ##ente,0.0008200441176692585,0.0008200441176692585,0.0,0.002748751232410922,0.002748751232410922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006872269469295499,0.0006872269469295499,0.0,0.0023035540120543573,0.0023035540120543573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00018480392615292886,0.0005544117784587866,0.0,0.0,0.0006872269469295499,0.0006872269469295499,0.0,0.0023035540120543573,0.0023035540120543573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006872269469295499,0.0006872269469295499,0.0,0.0023035540120543573,0.0023035540120543573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
